Disease,ADF Statistic,p-value,Is Stationary
Chlamydia,-11.423575709702243,6.780399412970136e-21,True
Dengue,-9.623248209129844,1.6869294347511289e-16,True
Giardiasis,-15.145243931506437,6.919623559919586e-28,True
Gonorrhea,-13.989967017590724,4.0331003610765567e-26,True
Haemophilus,-12.313584311993324,7.002605683382373e-23,True
HepatitisA,-11.810211341130325,8.897563730911585e-22,True
HepatitisB,-12.064116090963799,2.4310171165311297e-22,True
HepatitisC,-18.304262090085167,2.2831542829306468e-30,True
Legionellosis,-16.654172180213006,1.5945266268015244e-29,True
Lyme disease,-20.130425785108702,0.0,True
Malaria,-16.64202765626001,1.6315171924047173e-29,True
Syphilis,-10.607811678727671,5.939902394189584e-19,True
chickenpox,-10.56241955710227,7.667413266144599e-19,True
