Date,lower Lyme disease,upper Lyme disease
2019-01-07,-175.40193105427733,175.40193105427733
2019-01-14,-226.61093147136418,226.61093147136418
2019-01-21,-256.9021985083512,256.9021985083512
2019-01-28,-278.5095169167523,278.5095169167523
2019-02-04,-302.38153258792295,302.38153258792295
2019-02-11,-325.68423823203494,325.68423823203494
2019-02-18,-347.25793232355886,347.25793232355886
2019-02-25,-366.99768989316647,366.99768989316647
2019-03-04,-385.7225803703213,385.7225803703213
2019-03-11,-403.68233070932456,403.68233070932456
2019-03-18,-420.9234145464675,420.9234145464675
2019-03-25,-437.46270384965516,437.46270384965516
2019-04-01,-453.38419194688254,453.38419194688254
2019-04-08,-468.7658152972636,468.7658152972636
2019-04-15,-483.66332500494053,483.66332500494053
2019-04-22,-498.1162936697743,498.1162936697743
2019-04-29,-512.1606216266046,512.1606216266046
2019-05-06,-525.8294459341679,525.8294459341679
2019-05-13,-539.1519851808534,539.1519851808534
2019-05-20,-552.1533367959152,552.1533367959152
2019-05-27,-564.8555255930142,564.8555255930142
2019-06-03,-577.2782430092936,577.2782430092936
2019-06-10,-589.4391894654456,589.4391894654456
2019-06-17,-601.354268378995,601.354268378995
2019-06-24,-613.0378143539706,613.0378143539706
2019-07-01,-624.5028156497888,624.5028156497888
2019-07-08,-635.7610945296315,635.7610945296315
2019-07-15,-646.8234468868308,646.8234468868308
2019-07-22,-657.6997598693646,657.6997598693646
2019-07-29,-668.3991151217461,668.3991151217461
2019-08-05,-678.9298785402775,678.9298785402775
2019-08-12,-689.2997771304238,689.2997771304238
2019-08-19,-699.5159651688258,699.5159651688258
2019-08-26,-709.5850818104891,709.5850818104891
2019-09-02,-719.5133015716646,719.5133015716646
2019-09-09,-729.3063786526732,729.3063786526732
2019-09-16,-738.9696859441665,738.9696859441665
2019-09-23,-748.508249484185,748.508249484185
2019-09-30,-757.9267790153706,757.9267790153706
2019-10-07,-767.2296951705853,767.2296951705853
2019-10-14,-776.4211537266195,776.4211537266195
2019-10-21,-785.5050673017073,785.5050673017073
2019-10-28,-794.4851248193349,794.4851248193349
2019-11-04,-803.3648090138018,803.3648090138018
2019-11-11,-812.1474122130606,812.1474122130606
2019-11-18,-820.8360506014247,820.8360506014247
2019-11-25,-829.4336771373066,829.4336771373066
2019-12-02,-837.9430932778707,837.9430932778707
2019-12-09,-846.3669596426013,846.3669596426013
2019-12-16,-854.7078057308444,854.7078057308444
2019-12-23,-862.9680387939105,862.9680387939105
2019-12-30,-871.1499519499394,871.1499519499394
