Date,Month,WeekOfYear,Year,Week,Chlamydia,Dengue,Giardiasis,Gonorrhea,Haemophilus,HepatitisA,HepatitisB,HepatitisC,Legionellosis,Lyme disease,Malaria,Syphilis,chickenpox
2006-01-02,1,1,2006,1,3770,0,89,1561,15,44,10,0,8,14,4,18,211
2006-01-09,1,2,2006,2,7070,0,107,2770,13,22,22,0,11,17,4,52,614
2006-01-16,1,3,2006,3,9379,0,115,3450,13,21,25,0,13,22,18,83,475
2006-01-23,1,4,2006,4,11315,0,166,4030,29,29,71,0,10,22,15,85,813
2006-01-30,1,5,2006,5,11824,0,144,3873,29,42,32,0,19,35,11,90,703
2006-02-06,2,6,2006,6,10053,0,131,3370,20,19,19,0,11,33,6,77,776
2006-02-13,2,7,2006,7,8696,0,177,3266,20,46,25,0,16,31,9,80,692
2006-02-20,2,8,2006,8,8326,0,153,2968,21,31,35,0,15,23,20,71,452
2006-02-27,2,9,2006,9,13035,0,169,4884,36,44,95,0,19,39,5,85,916
2006-03-06,3,10,2006,10,11477,0,220,4087,23,43,100,0,15,144,17,59,901
2006-03-13,3,11,2006,11,12019,0,112,3943,35,9,31,0,17,103,3,90,790
2006-03-20,3,12,2006,12,12726,0,159,3730,27,42,61,0,19,86,12,130,755
2006-03-27,3,13,2006,13,12484,0,212,4344,32,52,41,0,16,62,8,74,901
2006-04-03,4,14,2006,14,11670,0,187,3562,27,44,36,0,18,147,11,76,811
2006-04-10,4,15,2006,15,9089,0,135,2632,20,38,49,0,14,13,5,71,1082
2006-04-17,4,16,2006,16,11215,0,162,3688,21,50,48,0,19,41,7,62,455
2006-04-24,4,17,2006,17,11690,0,147,4031,33,63,57,0,15,26,8,80,777
2006-05-01,5,18,2006,18,9731,0,203,2572,26,47,32,0,10,90,24,69,897
2006-05-08,5,19,2006,19,10401,0,134,3555,16,33,40,0,16,33,10,78,687
2006-05-15,5,20,2006,20,10749,0,203,3910,30,23,39,0,13,65,12,82,915
2006-05-22,5,21,2006,21,8614,0,258,3203,33,49,43,0,19,87,9,72,875
2006-05-29,5,22,2006,22,8743,0,128,3123,14,26,47,0,26,63,9,60,653
2006-06-05,6,23,2006,23,10577,0,175,3829,33,38,50,0,25,72,18,98,652
2006-06-12,6,24,2006,24,8826,0,148,2741,35,20,51,0,25,105,11,74,562
2006-06-19,6,25,2006,25,10737,0,144,3921,19,32,55,0,37,179,20,103,506
2006-06-26,6,26,2006,26,3830,0,169,1431,12,18,33,0,12,349,12,37,171
2006-07-03,7,27,2006,27,6717,0,136,2480,28,32,38,0,34,310,13,57,207
2006-07-10,7,28,2006,28,11186,0,271,3875,33,29,64,0,76,358,11,106,342
2006-07-17,7,29,2006,29,9550,0,156,3469,30,21,43,0,26,426,13,65,106
2006-07-24,7,30,2006,30,11416,0,222,3972,34,27,27,0,53,474,18,114,115
2006-07-31,7,31,2006,31,11538,0,212,3834,30,35,28,0,39,423,23,120,163
2006-08-07,8,32,2006,32,11595,0,268,4109,23,31,53,0,47,531,20,86,150
2006-08-14,8,33,2006,33,11916,0,263,4149,29,34,42,0,56,461,19,104,557
2006-08-21,8,34,2006,34,10841,0,277,3689,19,47,56,0,28,317,18,109,181
2006-08-28,8,35,2006,35,9450,0,283,3183,14,53,32,0,33,253,12,68,127
2006-09-04,9,36,2006,36,8008,0,224,3361,17,20,22,0,29,132,13,86,160
2006-09-11,9,37,2006,37,12409,0,291,4745,24,30,42,0,51,249,11,110,262
2006-09-18,9,38,2006,38,11657,0,227,3912,14,39,27,0,38,441,18,96,271
2006-09-25,9,39,2006,39,13082,0,325,4514,22,28,44,0,43,235,16,120,323
2006-10-02,10,40,2006,40,10833,0,297,3548,14,17,45,0,37,101,13,79,442
2006-10-09,10,41,2006,41,11448,0,224,3909,19,34,42,0,63,131,10,96,441
2006-10-16,10,42,2006,42,13169,0,236,4741,34,51,39,0,42,156,4,109,518
2006-10-23,10,43,2006,43,11145,0,237,3552,22,43,48,0,46,256,12,98,444
2006-10-30,10,44,2006,44,10427,0,247,3688,29,43,46,0,36,331,23,106,562
2006-11-06,11,45,2006,45,10236,0,183,3524,13,12,24,0,31,125,12,88,469
2006-11-13,11,46,2006,46,8434,0,208,2857,22,35,56,0,24,171,4,62,695
2006-11-20,11,47,2006,47,6193,0,138,1893,19,23,17,0,23,152,7,44,570
2006-11-27,11,48,2006,48,11826,0,191,4210,29,37,32,0,28,252,13,97,940
2006-12-04,12,49,2006,49,11832,0,198,3910,23,35,54,0,24,154,8,108,850
2006-12-11,12,50,2006,50,10779,0,199,3404,20,15,21,0,21,142,6,96,668
2006-12-18,12,51,2006,51,8135,0,165,2277,22,34,44,0,15,114,10,63,382
2006-12-25,12,52,2006,52,5900,0,149,1856,25,16,31,0,28,73,5,45,213
2007-01-01,1,1,2007,1,6694,0,67,2308,15,6,10,0,6,19,6,42,203
2007-01-08,1,2,2007,2,7104,0,78,2430,28,10,15,0,16,27,3,65,562
2007-01-15,1,3,2007,3,8105,0,71,3096,39,9,15,0,12,113,7,61,354
2007-01-22,1,4,2007,4,13385,0,176,4603,29,19,29,0,20,36,8,125,427
2007-01-29,1,5,2007,5,11361,0,168,3268,44,31,32,0,20,47,11,95,500
2007-02-05,2,6,2007,6,9736,0,166,3099,30,19,43,0,11,37,5,106,1052
2007-02-12,2,7,2007,7,7547,0,126,2364,39,20,23,0,25,85,3,68,684
2007-02-19,2,8,2007,8,9125,0,144,2780,28,28,31,0,15,49,4,63,573
2007-02-26,2,9,2007,9,10629,0,127,3436,22,42,34,0,13,95,5,98,383
2007-03-05,3,10,2007,10,10372,0,123,3334,34,25,31,0,18,33,8,68,775
2007-03-12,3,11,2007,11,9994,0,169,2821,29,33,37,0,18,42,3,79,619
2007-03-19,3,12,2007,12,8537,0,116,3323,23,18,35,0,17,30,1,99,972
2007-03-26,3,13,2007,13,12198,0,163,3097,33,23,58,0,18,57,7,103,820
2007-04-02,4,14,2007,14,10216,0,155,3052,43,42,37,0,9,53,6,91,557
2007-04-09,4,15,2007,15,3052,0,147,2764,35,27,18,0,10,42,5,84,830
2007-04-16,4,16,2007,16,10581,0,152,3601,34,31,53,0,14,36,10,117,983
2007-04-23,4,17,2007,17,10876,0,139,3316,33,28,33,0,18,41,9,91,653
2007-04-30,4,18,2007,18,11755,0,132,3430,31,23,28,0,10,86,5,79,659
2007-05-07,5,19,2007,19,11098,0,143,3465,25,23,46,0,10,77,7,99,814
2007-05-14,5,20,2007,20,10619,0,170,2747,71,24,47,0,15,81,10,89,783
2007-05-21,5,21,2007,21,8574,0,122,2958,22,17,16,0,10,36,8,72,437
2007-05-28,5,22,2007,22,6567,0,83,1956,20,27,47,0,15,44,9,55,560
2007-06-04,6,23,2007,23,9475,0,103,2688,18,20,35,0,23,168,9,89,555
2007-06-11,6,24,2007,24,10193,0,128,3110,25,29,35,0,18,207,14,125,238
2007-06-18,6,25,2007,25,10775,0,132,3964,22,28,29,0,31,248,9,107,184
2007-06-25,6,26,2007,26,8556,0,141,2440,24,34,26,0,28,296,8,83,137
2007-07-02,7,27,2007,27,10312,0,190,3040,32,22,30,0,24,225,5,88,151
2007-07-09,7,28,2007,28,10867,0,150,3383,15,35,41,0,43,511,13,119,104
2007-07-16,7,29,2007,29,11992,0,184,4264,25,27,43,0,25,583,13,117,126
2007-07-23,7,30,2007,30,11895,0,219,3851,28,35,34,0,19,462,13,109,149
2007-07-30,7,31,2007,31,10680,0,212,3591,25,23,26,0,24,398,24,131,120
2007-08-06,8,32,2007,32,13635,0,220,4373,23,24,47,0,48,381,13,114,77
2007-08-13,8,33,2007,33,12454,0,233,4049,18,36,33,0,30,372,17,136,116
2007-08-20,8,34,2007,34,12350,0,245,4808,19,35,44,0,46,297,20,150,148
2007-08-27,8,35,2007,35,11658,0,270,3625,12,33,31,0,39,237,7,95,186
2007-09-03,9,36,2007,36,8796,0,247,2979,12,28,48,0,48,307,11,82,137
