Year,Week,Month,Chlamydia,Dengue,Giardiasis,Gonorrhea,Haemophilus,HepatitisA,HepatitisB,HepatitisC,Legionellosis,Lyme disease,Malaria,Syphilis,chickenpox,Date,Quarter
2006,1,1,3770.0,0.0,89.0,1561.0,15.0,44.0,10.0,0.0,8.0,14.0,4.0,18.0,211.0,2006-01-02,
2006,2,1,7070.0,0.0,107.0,2770.0,13.0,22.0,22.0,0.0,11.0,17.0,4.0,52.0,614.0,2006-01-09,
2006,3,1,9379.0,0.0,115.0,3450.0,13.0,21.0,25.0,0.0,13.0,22.0,18.0,83.0,475.0,2006-01-16,
2006,4,1,11315.0,0.0,166.0,4030.0,29.0,29.0,71.0,0.0,10.0,22.0,15.0,85.0,813.0,2006-01-23,
2006,5,1,11824.0,0.0,144.0,3873.0,29.0,42.0,32.0,0.0,19.0,35.0,11.0,90.0,703.0,2006-01-30,
2006,6,2,10053.0,0.0,131.0,3370.0,20.0,19.0,19.0,0.0,11.0,33.0,6.0,77.0,776.0,2006-02-06,
2006,7,2,8696.0,0.0,177.0,3266.0,20.0,46.0,25.0,0.0,16.0,31.0,9.0,80.0,692.0,2006-02-13,
2006,8,2,8326.0,0.0,153.0,2968.0,21.0,31.0,35.0,0.0,15.0,23.0,20.0,71.0,452.0,2006-02-20,
2006,9,2,13035.0,0.0,169.0,4884.0,36.0,44.0,95.0,0.0,19.0,39.0,5.0,85.0,916.0,2006-02-27,
2006,10,3,11477.0,0.0,220.0,4087.0,23.0,43.0,100.0,0.0,15.0,144.0,17.0,59.0,901.0,2006-03-06,
2006,11,3,12019.0,0.0,112.0,3943.0,35.0,9.0,31.0,0.0,17.0,103.0,3.0,90.0,790.0,2006-03-13,
2006,12,3,12726.0,0.0,159.0,3730.0,27.0,42.0,61.0,0.0,19.0,86.0,12.0,130.0,755.0,2006-03-20,
2006,13,3,12484.0,0.0,212.0,4344.0,32.0,52.0,41.0,0.0,16.0,62.0,8.0,74.0,901.0,2006-03-27,
2006,14,4,11670.0,0.0,187.0,3562.0,27.0,44.0,36.0,0.0,18.0,147.0,11.0,76.0,811.0,2006-04-03,
2006,15,4,9089.0,0.0,135.0,2632.0,20.0,38.0,49.0,0.0,14.0,13.0,5.0,71.0,1082.0,2006-04-10,
2006,16,4,11215.0,0.0,162.0,3688.0,21.0,50.0,48.0,0.0,19.0,41.0,7.0,62.0,455.0,2006-04-17,
2006,17,4,11690.0,0.0,147.0,4031.0,33.0,63.0,57.0,0.0,15.0,26.0,8.0,80.0,777.0,2006-04-24,
2006,18,5,9731.0,0.0,203.0,2572.0,26.0,47.0,32.0,0.0,10.0,90.0,24.0,69.0,897.0,2006-05-01,
2006,19,5,10401.0,0.0,134.0,3555.0,16.0,33.0,40.0,0.0,16.0,33.0,10.0,78.0,687.0,2006-05-08,
2006,20,5,10749.0,0.0,203.0,3910.0,30.0,23.0,39.0,0.0,13.0,65.0,12.0,82.0,915.0,2006-05-15,
2006,21,5,8614.0,0.0,258.0,3203.0,33.0,49.0,43.0,0.0,19.0,87.0,9.0,72.0,875.0,2006-05-22,
2006,22,5,8743.0,0.0,128.0,3123.0,14.0,26.0,47.0,0.0,26.0,63.0,9.0,60.0,653.0,2006-05-29,
2006,23,6,10577.0,0.0,175.0,3829.0,33.0,38.0,50.0,0.0,25.0,72.0,18.0,98.0,652.0,2006-06-05,
2006,24,6,8826.0,0.0,148.0,2741.0,35.0,20.0,51.0,0.0,25.0,105.0,11.0,74.0,562.0,2006-06-12,
2006,25,6,10737.0,0.0,144.0,3921.0,19.0,32.0,55.0,0.0,37.0,179.0,20.0,103.0,506.0,2006-06-19,
2006,26,6,3830.0,0.0,169.0,1431.0,12.0,18.0,33.0,0.0,12.0,349.0,12.0,37.0,171.0,2006-06-26,
2006,27,7,6717.0,0.0,136.0,2480.0,28.0,32.0,38.0,0.0,34.0,310.0,13.0,57.0,207.0,2006-07-03,
2006,28,7,11186.0,0.0,271.0,3875.0,33.0,29.0,64.0,0.0,76.0,358.0,11.0,106.0,342.0,2006-07-10,
2006,29,7,9550.0,0.0,156.0,3469.0,30.0,21.0,43.0,0.0,26.0,426.0,13.0,65.0,106.0,2006-07-17,
2006,30,7,11416.0,0.0,222.0,3972.0,34.0,27.0,27.0,0.0,53.0,474.0,18.0,114.0,115.0,2006-07-24,
2006,31,7,11538.0,0.0,212.0,3834.0,30.0,35.0,28.0,0.0,39.0,423.0,23.0,120.0,163.0,2006-07-31,
2006,32,8,11595.0,0.0,268.0,4109.0,23.0,31.0,53.0,0.0,47.0,531.0,20.0,86.0,150.0,2006-08-07,
2006,33,8,11916.0,0.0,263.0,4149.0,29.0,34.0,42.0,0.0,56.0,461.0,19.0,104.0,557.0,2006-08-14,
2006,34,8,10841.0,0.0,277.0,3689.0,19.0,47.0,56.0,0.0,28.0,317.0,18.0,109.0,181.0,2006-08-21,
2006,35,8,9450.0,0.0,283.0,3183.0,14.0,53.0,32.0,0.0,33.0,253.0,12.0,68.0,127.0,2006-08-28,
