Date,Forecast
2017-01-09,60.872265
2017-01-16,58.72196
2017-01-23,59.339592
2017-01-30,62.03683
2017-02-06,64.33309
2017-02-13,65.504776
2017-02-20,66.92915
2017-02-27,68.27462
2017-03-06,69.41729
2017-03-13,70.41637
2017-03-20,71.37306
2017-03-27,72.234375
2017-04-03,73.01035
2017-04-10,73.71445
2017-04-17,74.35432
2017-04-24,74.93244
2017-05-01,75.45511
2017-05-08,75.92766
2017-05-15,76.35453
2017-05-22,76.73984
2017-05-29,77.08758
2017-06-05,77.40121
2017-06-12,77.684044
2017-06-19,77.93895
2017-06-26,78.16867
2017-07-03,78.37558
2017-07-10,78.56194
2017-07-17,78.72977
2017-07-24,78.880844
2017-07-31,79.01683
2017-08-07,79.139206
2017-08-14,79.24934
2017-08-21,79.348434
2017-08-28,79.43756
2017-09-04,79.51776
2017-09-11,79.5899
2017-09-18,79.654755
2017-09-25,79.71307
2017-10-02,79.76555
2017-10-09,79.812706
2017-10-16,79.8551
2017-10-23,79.89324
2017-10-30,79.92754
2017-11-06,79.95838
2017-11-13,79.98606
2017-11-20,80.01098
2017-11-27,80.03339
2017-12-04,80.05348
2017-12-11,80.07161
2017-12-18,80.08788
2017-12-25,80.10246
2018-01-01,80.115616
2018-01-08,80.12741
2018-01-15,80.13805
2018-01-22,80.147606
2018-01-29,80.15616
2018-02-05,80.163895
2018-02-12,80.170784
2018-02-19,80.17702
2018-02-26,80.18263
2018-03-05,80.18767
2018-03-12,80.19219
2018-03-19,80.19622
2018-03-26,80.1999
2018-04-02,80.20315
2018-04-09,80.20613
2018-04-16,80.20876
2018-04-23,80.21117
2018-04-30,80.213295
2018-05-07,80.21523
2018-05-14,80.21697
2018-05-21,80.21853
2018-05-28,80.21992
2018-06-04,80.22116
2018-06-11,80.22228
2018-06-18,80.22329
2018-06-25,80.22422
2018-07-02,80.22503
2018-07-09,80.22577
2018-07-16,80.226425
2018-07-23,80.227005
2018-07-30,80.22755
2018-08-06,80.22801
2018-08-13,80.22848
2018-08-20,80.22887
2018-08-27,80.22922
2018-09-03,80.22952
2018-09-10,80.2298
2018-09-17,80.230064
2018-09-24,80.23026
2018-10-01,80.23045
2018-10-08,80.23069
2018-10-15,80.230804
2018-10-22,80.23096
2018-10-29,80.23111
2018-11-05,80.23123
2018-11-12,80.23131
2018-11-19,80.23142
2018-11-26,80.23154
2018-12-03,80.231575
2018-12-10,80.23165
2018-12-17,80.231735
2018-12-24,80.23177
2018-12-31,80.23181
2019-01-07,80.23189
2019-01-14,80.231926
2019-01-21,80.231964
2019-01-28,80.232
2019-02-04,80.232
2019-02-11,80.23204
2019-02-18,80.23208
2019-02-25,80.23208
2019-03-04,80.23212
2019-03-11,80.23212
2019-03-18,80.232155
2019-03-25,80.232155
