Date,Forecast
2017-01-09,139.09955
2017-01-16,121.06649
2017-01-23,124.00103
2017-01-30,126.517334
2017-02-06,133.81049
2017-02-13,133.36421
2017-02-20,135.8138
2017-02-27,137.97769
2017-03-06,139.9024
2017-03-13,141.12558
2017-03-20,142.58286
2017-03-27,143.83551
2017-04-03,144.92755
2017-04-10,145.88867
2017-04-17,146.78975
2017-04-24,147.5874
2017-05-01,148.30289
2017-05-08,148.94913
2017-05-15,149.53487
2017-05-22,150.0616
2017-05-29,150.53749
2017-06-05,150.96793
2017-06-12,151.35725
2017-06-19,151.70921
2017-06-26,152.02783
2017-07-03,152.31631
2017-07-10,152.57758
2017-07-17,152.81422
2017-07-24,153.0287
2017-07-31,153.22308
2017-08-07,153.3993
2017-08-14,153.55911
2017-08-21,153.70406
2017-08-28,153.83551
2017-09-04,153.95477
2017-09-11,154.06299
2017-09-18,154.1612
2017-09-25,154.2503
2017-10-02,154.33122
2017-10-09,154.40463
2017-10-16,154.47131
2017-10-23,154.53183
2017-10-30,154.58678
2017-11-06,154.63667
2017-11-13,154.68198
2017-11-20,154.72311
2017-11-27,154.76047
2017-12-04,154.7944
2017-12-11,154.82523
2017-12-18,154.85321
2017-12-25,154.87863
2018-01-01,154.90172
2018-01-08,154.9227
2018-01-15,154.94174
2018-01-22,154.95905
2018-01-29,154.97478
2018-02-05,154.98906
2018-02-12,155.00201
2018-02-19,155.0138
2018-02-26,155.02452
2018-03-05,155.03423
2018-03-12,155.04308
2018-03-19,155.0511
2018-03-26,155.0584
2018-04-02,155.06502
2018-04-09,155.07103
2018-04-16,155.0765
2018-04-23,155.08147
2018-04-30,155.08598
2018-05-07,155.09009
2018-05-14,155.09381
2018-05-21,155.09718
2018-05-28,155.10025
2018-06-04,155.10306
2018-06-11,155.10559
2018-06-18,155.10788
2018-06-25,155.11
2018-07-02,155.11188
2018-07-09,155.11362
2018-07-16,155.11519
2018-07-23,155.11662
2018-07-30,155.1179
2018-08-06,155.1191
2018-08-13,155.12016
2018-08-20,155.12114
2018-08-27,155.12202
2018-09-03,155.12282
2018-09-10,155.12355
2018-09-17,155.12422
2018-09-24,155.12482
2018-10-01,155.12537
2018-10-08,155.12585
2018-10-15,155.12631
2018-10-22,155.12671
2018-10-29,155.12709
2018-11-05,155.12743
2018-11-12,155.12773
2018-11-19,155.12802
2018-11-26,155.12828
2018-12-03,155.12851
2018-12-10,155.12871
2018-12-17,155.1289
2018-12-24,155.12909
2018-12-31,155.12923
2019-01-07,155.12938
2019-01-14,155.12952
2019-01-21,155.12964
2019-01-28,155.12975
2019-02-04,155.12984
2019-02-11,155.12993
