,chickenpox
2017-01-09,95.40254233763935
2017-01-16,163.34620058096073
2017-01-23,314.88989319783525
2017-01-30,550.6645401618736
2017-02-06,809.6678783680576
2017-02-13,1003.7553151561974
2017-02-20,1145.8062942670047
2017-02-27,1229.173325608948
2017-03-06,1268.3289568942087
2017-03-13,1281.5789795367202
2017-03-20,1285.9378979198054
2017-03-27,1289.6962942053779
2017-04-03,1262.4262104599557
2017-04-10,1246.7104603359091
2017-04-17,1203.5620934854398
2017-04-24,1181.6969238958272
2017-05-01,1197.544875734599
2017-05-08,1226.55606209596
2017-05-15,1248.0204273046033
2017-05-22,1240.57166181041
2017-05-29,1228.9065952381743
2017-06-05,1186.3114662917496
2017-06-12,1127.4077845074441
2017-06-19,1056.0119014152876
2017-06-26,997.100083944784
2017-07-03,929.6286350403336
2017-07-10,880.2735954233428
2017-07-17,900.5137804467923
2017-07-24,941.7595601588263
2017-07-31,934.9948489655886
2017-08-07,928.6718072874488
2017-08-14,939.4026589678102
2017-08-21,936.6927239140205
2017-08-28,922.8688956771579
2017-09-04,908.589281005833
2017-09-11,898.5257470925665
2017-09-18,898.0493297059214
2017-09-25,969.5999517515385
2017-10-02,1003.1336920850204
2017-10-09,1030.0224444081323
2017-10-16,1043.377372942231
2017-10-23,1029.116648258809
2017-10-30,1052.7006489853104
2017-11-06,1078.7710510852564
2017-11-13,1075.5901562089819
2017-11-20,1097.759250027334
2017-11-27,1070.1328606523366
2017-12-04,1085.088774248009
2017-12-11,1057.4792373936182
2017-12-18,1046.2865679199263
2017-12-25,1005.780005328489
2018-01-01,891.2356519995401
2018-01-08,882.7979457508679
2018-01-15,867.8507532332492
2018-01-22,911.2375825403044
2018-01-29,978.0827606732706
2018-02-05,1045.6824515652802
2018-02-12,1127.7791229247725
2018-02-19,1184.3470560202963
2018-02-26,1195.716673062027
2018-03-05,1204.3168518906655
2018-03-12,1171.8263835539128
2018-03-19,1149.8421410559752
2018-03-26,1144.29734851837
2018-04-02,1145.4794848328204
2018-04-09,1143.2705816579994
2018-04-16,1143.9961664511316
2018-04-23,1128.2166472514593
2018-04-30,1130.142069887031
2018-05-07,1125.7754671562298
2018-05-14,1157.7742414595089
2018-05-21,1171.957329841425
2018-05-28,1174.195116696806
2018-06-04,1146.8618290727873
2018-06-11,1175.721346805062
2018-06-18,1152.070537981673
2018-06-25,1103.5979870044325
2018-07-02,1085.4438536544978
2018-07-09,1028.020525155249
2018-07-16,1010.1365630890402
2018-07-23,982.3371477275474
2018-07-30,937.2188266078028
2018-08-06,951.1209122034603
2018-08-13,935.2990986006682
2018-08-20,917.6873347135638
2018-08-27,933.6988142819941
2018-09-03,875.691074708625
2018-09-10,876.037948798197
2018-09-17,917.0071014489222
2018-09-24,924.6051358645967
2018-10-01,940.9962760832167
2018-10-08,917.5352243425006
2018-10-15,895.1297394456461
2018-10-22,937.0073431674524
2018-10-29,986.8000802240929
2018-11-05,1025.3347582375718
2018-11-12,1020.8943429447185
2018-11-19,1041.2155355845084
2018-11-26,1042.6777365750022
2018-12-03,1023.605336385918
2018-12-10,1010.1913800361956
2018-12-17,995.263953109005
2018-12-24,1010.3327780580116
2018-12-31,1029.571521161644
2019-01-07,1052.3681441796957
2019-01-14,971.7800482506028
2019-01-21,967.7501916514011
2019-01-28,985.337278096828
2019-02-04,1039.3431993687043
2019-02-11,1051.9133819896488
2019-02-18,1078.0207727528757
2019-02-25,1100.201793048507
2019-03-04,1087.2490300353918
2019-03-11,1087.9706542249746
2019-03-18,1143.912587103997
2019-03-25,1161.460299060491
2019-04-01,1175.4276871575369
2019-04-08,1154.0707324029975
2019-04-15,1166.875032836586
2019-04-22,1130.8635825433325
2019-04-29,1109.0791983988504
2019-05-06,1109.5160312191463
2019-05-13,1128.3663655555235
2019-05-20,1104.7814415375992
2019-05-27,1120.2088059495998
2019-06-03,1129.850073111932
2019-06-10,1136.3976704542677
2019-06-17,1117.2097991049336
2019-06-24,1098.9866333506993
2019-07-01,1043.7790981155435
2019-07-08,1028.3074988075493
2019-07-15,997.6659751983206
2019-07-22,1028.6907154127764
2019-07-29,1031.1013104885421
2019-08-05,1022.197590262422
2019-08-12,1030.4328729805513
2019-08-19,1005.5082263722978
2019-08-26,988.3404549243626
2019-09-02,991.2582357451853
2019-09-09,1006.6168750604518
2019-09-16,1042.6026733042359
2019-09-23,1078.099541955649
2019-09-30,1086.752059603973
2019-10-07,1072.497856465285
2019-10-14,1090.4482616664611
2019-10-21,1071.0249488892646
2019-10-28,992.9415951559022
2019-11-04,898.8420499594079
2019-11-11,865.2977177094244
2019-11-18,790.6750489853672
2019-11-25,749.4240175966559
2019-12-02,756.7878707116733
2019-12-09,747.6140519441285
2019-12-16,802.8053497266042
2019-12-23,838.2474925871543
2019-12-30,883.3569401679067
2020-01-06,913.628455894201
2020-01-13,568.2261143970304
2020-01-20,338.7585515149682
2020-01-27,218.09939037338222
2020-02-03,153.8796289046154
2020-02-10,119.80599886825225
2020-02-17,100.98071062370163
2020-02-24,90.4056712664394
2020-03-02,83.98278496079236
2020-03-09,80.32664787415352
2020-03-16,77.65076179407949
2020-03-23,75.65222912460102
