,Giardiasis
2017-01-09,103.51255440711974
2017-01-16,503.68800592422485
2017-01-23,544.6039891242981
2017-01-30,517.0119996070862
2017-02-06,520.6428260803223
2017-02-13,524.0603141784668
2017-02-20,525.8891167640686
2017-02-27,530.3247046470642
2017-03-06,531.2632322311401
2017-03-13,551.0514168739319
2017-03-20,549.5145063400269
2017-03-27,534.7941584587097
2017-04-03,533.3529467582703
2017-04-10,532.6715540885925
2017-04-17,543.4368028640747
2017-04-24,541.3370728492737
2017-05-01,534.2442402839661
2017-05-08,531.2507553100586
2017-05-15,535.5712924003601
2017-05-22,527.3999276161194
2017-05-29,523.9381337165833
2017-06-05,531.457643032074
2017-06-12,527.592089176178
2017-06-19,523.6470904350281
2017-06-26,525.2724852561951
2017-07-03,529.7827649116516
2017-07-10,539.7578511238098
2017-07-17,521.7129554748535
2017-07-24,518.2453474998474
2017-07-31,523.5616192817688
2017-08-07,528.8931264877319
2017-08-14,521.8079752922058
2017-08-21,517.7529335021973
2017-08-28,520.8015036582947
2017-09-04,518.8582019805908
2017-09-11,524.4389081001282
2017-09-18,516.9384112358093
2017-09-25,514.3957080841064
2017-10-02,516.0000958442688
2017-10-09,515.6926712989807
2017-10-16,522.1613183021545
2017-10-23,519.820707321167
2017-10-30,516.4182848930359
2017-11-06,526.8251404762268
2017-11-13,533.3478541374207
2017-11-20,530.4504499435425
2017-11-27,542.5209374427795
2017-12-04,529.8300414085388
2017-12-11,532.7167086601257
2017-12-18,527.9343981742859
2017-12-25,542.5799694061279
2018-01-01,557.5734515190125
2018-01-08,550.8949036598206
2018-01-15,554.8606123924255
2018-01-22,546.0962119102478
2018-01-29,552.1047406196594
2018-02-05,546.8915944099426
2018-02-12,548.1115317344666
2018-02-19,554.5877752304077
2018-02-26,556.7767109870911
2018-03-05,547.1027684211731
2018-03-12,544.1919112205505
2018-03-19,534.5556964874268
2018-03-26,527.5814371109009
2018-04-02,536.5339674949646
2018-04-09,531.2438802719116
2018-04-16,544.4669127464294
2018-04-23,537.4765691757202
2018-04-30,530.6974844932556
2018-05-07,539.7457985877991
2018-05-14,530.3084082603455
2018-05-21,526.875599861145
2018-05-28,530.893253326416
2018-06-04,527.3851165771484
2018-06-11,528.9199900627136
2018-06-18,525.779625415802
2018-06-25,528.2905421257019
2018-07-02,522.9136681556702
