,Giardiasis
2017-01-09,105.5111640691757
2017-01-16,289.57483100891113
2017-01-23,378.2655391693115
2017-01-30,400.74385833740234
2017-02-06,415.4187545776367
2017-02-13,420.41262102127075
2017-02-20,422.63041496276855
2017-02-27,427.5912218093872
2017-03-06,428.24464750289917
2017-03-13,449.7323670387268
2017-03-20,452.7554316520691
2017-03-27,435.87861347198486
2017-04-03,432.54562044143677
2017-04-10,429.5180149078369
2017-04-17,441.1447653770447
2017-04-24,438.5837712287903
2017-05-01,430.6470489501953
2017-05-08,428.2189722061157
2017-05-15,435.7268109321594
2017-05-22,428.99432373046875
2017-05-29,426.68346214294434
2017-06-05,434.9305372238159
2017-06-12,431.17591762542725
2017-06-19,428.4431748390198
2017-06-26,430.17763662338257
2017-07-03,434.4093074798584
2017-07-10,442.83793449401855
2017-07-17,427.3927369117737
2017-07-24,422.8836455345154
2017-07-31,428.00554895401
2017-08-07,432.7788624763489
2017-08-14,424.69827365875244
2017-08-21,419.8073205947876
2017-08-28,423.6183834075928
2017-09-04,420.23327589035034
2017-09-11,425.8203477859497
2017-09-18,417.11582803726196
2017-09-25,412.9724292755127
2017-10-02,415.76225185394287
2017-10-09,412.14746713638306
2017-10-16,420.0320749282837
2017-10-23,417.54806423187256
2017-10-30,414.0110692977905
2017-11-06,423.81975412368774
2017-11-13,428.9179344177246
2017-11-20,428.4026885032654
2017-11-27,437.5680904388428
2017-12-04,430.2314486503601
2017-12-11,432.06996965408325
2017-12-18,426.61309909820557
2017-12-25,437.763222694397
2018-01-01,449.78252935409546
2018-01-08,454.69767236709595
2018-01-15,456.5331802368164
2018-01-22,444.6587162017822
2018-01-29,445.53608989715576
2018-02-05,438.2697262763977
2018-02-12,439.9016990661621
2018-02-19,444.67165994644165
2018-02-26,447.97464895248413
2018-03-05,440.853467464447
2018-03-12,442.9021863937378
2018-03-19,434.3422546386719
2018-03-26,427.0810685157776
2018-04-02,437.2280731201172
2018-04-09,431.5581612586975
2018-04-16,446.1518301963806
2018-04-23,440.543963432312
2018-04-30,434.23641300201416
2018-05-07,443.56303882598877
2018-05-14,433.5105447769165
2018-05-21,429.6005153656006
2018-05-28,433.65933418273926
2018-06-04,428.98817014694214
2018-06-11,431.7416229248047
2018-06-18,428.9861330986023
2018-06-25,432.6365661621094
2018-07-02,426.722505569458
2018-07-09,430.0412817001343
2018-07-16,426.1092691421509
2018-07-23,425.41043424606323
2018-07-30,427.0663847923279
2018-08-06,422.3267674446106
2018-08-13,419.519248008728
2018-08-20,421.59321784973145
2018-08-27,416.9440793991089
2018-09-03,420.2743139266968
2018-09-10,420.85873460769653
2018-09-17,415.2615623474121
2018-09-24,415.8563380241394
2018-10-01,416.62778520584106
2018-10-08,418.87248516082764
2018-10-15,418.90864276885986
2018-10-22,423.16344261169434
2018-10-29,421.5260376930237
2018-11-05,418.87244272232056
2018-11-12,423.163782119751
2018-11-19,430.1784429550171
2018-11-26,426.5475740432739
2018-12-03,422.2858567237854
2018-12-10,423.0476279258728
2018-12-17,426.3077116012573
2018-12-24,428.1544232368469
2018-12-31,444.2078495025635
2019-01-07,450.20606565475464
2019-01-14,447.4142060279846
2019-01-21,445.1021137237549
2019-01-28,447.74004888534546
2019-02-04,435.0745310783386
2019-02-11,435.3937110900879
2019-02-18,437.56728410720825
2019-02-25,437.82352781295776
2019-03-04,431.1001648902893
2019-03-11,443.9496536254883
2019-03-18,437.991117477417
2019-03-25,438.47054529190063
2019-04-01,434.57303524017334
2019-04-08,435.7617802619934
2019-04-15,439.4256238937378
2019-04-22,440.3868136405945
2019-04-29,431.1841506958008
2019-05-06,428.48837184906006
2019-05-13,444.961727142334
2019-05-20,443.36964654922485
2019-05-27,442.4637541770935
2019-06-03,437.6142210960388
2019-06-10,438.2141318321228
2019-06-17,446.8742184638977
2019-06-24,424.6145849227905
2019-07-01,427.45694637298584
2019-07-08,426.7604455947876
2019-07-15,433.60908699035645
2019-07-22,436.5542769432068
2019-07-29,427.2834577560425
2019-08-05,427.1520256996155
2019-08-12,424.97730684280396
2019-08-19,422.64408016204834
2019-08-26,416.52147674560547
2019-09-02,416.9348702430725
2019-09-09,419.5789165496826
2019-09-16,421.2169580459595
2019-09-23,417.6287398338318
2019-09-30,416.20942640304565
2019-10-07,415.434796333313
2019-10-14,422.0278306007385
2019-10-21,417.97372245788574
2019-10-28,422.4417757987976
2019-11-04,427.9682455062866
2019-11-11,420.84761571884155
2019-11-18,418.0046601295471
2019-11-25,447.1583442687988
2019-12-02,445.13865327835083
2019-12-09,442.6776866912842
2019-12-16,434.32014417648315
2019-12-23,440.35723400115967
2019-12-30,440.54493951797485
2020-01-06,453.6965055465698
2020-01-13,390.2324767112732
2020-01-20,349.09089040756226
2020-01-27,304.2909986972809
2020-02-03,262.77684473991394
2020-02-10,225.9916136264801
2020-02-17,193.37125515937805
2020-02-24,163.56215071678162
2020-03-02,135.93716526031494
2020-03-09,108.90994739532469
2020-03-16,88.23054349422455
2020-03-23,82.25347763299942
2020-03-30,78.3910801410675
2020-04-06,76.54417753219604
2020-04-13,76.38365918397903
2020-04-20,80.20488601922989
2020-04-27,88.44016319513321
2020-05-04,101.41227799654006
2020-05-11,123.19721031188963
2020-05-18,152.9114010334015
2020-05-25,189.95204830169678
2020-06-01,231.45883917808533
2020-06-08,281.26193380355835
2020-06-15,328.8857262134552
2020-06-22,366.8048930168152
2020-06-29,396.94217443466187
2020-07-06,419.7036008834839
2020-07-13,441.47565841674805
2020-07-20,454.8790545463562
2020-07-27,463.1965775489807
2020-08-03,467.6075510978699
2020-08-10,470.7521595954895
2020-08-17,468.6793780326843
2020-08-24,463.0146861076355
2020-08-31,454.33316802978516
2020-09-07,442.98001861572266
2020-09-14,427.01486444473267
2020-09-21,406.6551604270935
2020-09-28,382.64697551727295
2020-10-05,356.25446796417236
2020-10-12,323.8462595939636
2020-10-19,291.0153212547302
2020-10-26,258.97367548942566
2020-11-02,230.17034244537354
2020-11-09,202.5362114906311
2020-11-16,180.20373225212097
2020-11-23,163.57660102844238
2020-11-30,151.00913739204407
2020-12-07,141.5844361782074
2020-12-14,132.8258285522461
2020-12-21,125.74551534652709
2020-12-28,120.02569580078124
