,chickenpox
2017-01-09,11.0
2017-01-16,1019.1016954183577
2017-01-23,1514.9905902147293
2017-01-30,1634.115000605583
2017-02-06,1677.4138170480726
2017-02-13,1709.3584049940107
2017-02-20,1730.406983375549
2017-02-27,1746.2097274065015
2017-03-06,1760.365104794502
2017-03-13,1771.8130453824995
2017-03-20,1774.4980117082594
2017-03-27,1747.9781281948087
2017-04-03,1746.142315983772
2017-04-10,1744.3261654376981
2017-04-17,1748.435836434364
2017-04-24,1734.8787354230878
2017-05-01,1734.1001845598219
2017-05-08,1734.2717772722242
2017-05-15,1732.9838105440137
2017-05-22,1735.2428592443464
2017-05-29,1733.4750968217847
2017-06-05,1738.888949036598
2017-06-12,1728.6439448595045
2017-06-19,1736.2881193161008
2017-06-26,1730.6966737508772
2017-07-03,1738.4589458703992
2017-07-10,1759.4193021059034
2017-07-17,1784.71620452404
2017-07-24,1804.228236556053
2017-07-31,1812.0027652978895
2017-08-07,1826.5924867391584
2017-08-14,1838.0508965253828
2017-08-21,1847.210934281349
2017-08-28,1841.5596100091932
2017-09-04,1844.0423420667646
2017-09-11,1827.8403640985487
2017-09-18,1807.1944668292997
2017-09-25,1815.02861893177
2017-10-02,1827.169952392578
2017-10-09,1812.8727301359174
2017-10-16,1797.7807425260542
2017-10-23,1797.3530374765394
2017-10-30,1790.2509632110593
2017-11-06,1776.7573157548902
2017-11-13,1761.0365378856657
2017-11-20,1743.2506468296049
2017-11-27,1725.7212511301038
2017-12-04,1733.8656489849088
2017-12-11,1732.0502644777296
2017-12-18,1731.2226871252058
2017-12-25,1737.5514451265333
2018-01-01,1770.3463362455366
2018-01-08,1805.5677832365034
2018-01-15,1829.3114141225813
2018-01-22,1841.636724591255
2018-01-29,1858.5157532691953
2018-02-05,1861.1133911609647
2018-02-12,1873.108794212341
2018-02-19,1874.1223913431165
2018-02-26,1880.0214015245435
2018-03-05,1889.3875037431715
2018-03-12,1811.5375243425367
2018-03-19,1803.948121666908
2018-03-26,1791.826322197914
2018-04-02,1791.0227473974226
2018-04-09,1788.3372703790662
2018-04-16,1781.356996297836
2018-04-23,1785.0325785875318
2018-04-30,1787.76938021183
2018-05-07,1777.2058315277097
2018-05-14,1781.313587427139
2018-05-21,1763.911864876747
2018-05-28,1752.5779364109037
2018-06-04,1748.2392197847364
2018-06-11,1747.3301869630811
2018-06-18,1742.5592967271803
2018-06-25,1742.9967049360273
2018-07-02,1737.5951093435285
2018-07-09,1742.119335055351
2018-07-16,1744.2014287710188
2018-07-23,1755.359551310539
2018-07-30,1763.4642428159711
2018-08-06,1779.8610500097273
2018-08-13,1778.3843823671339
2018-08-20,1797.1985529661176
2018-08-27,1808.6263211965559
2018-09-03,1807.1997014284132
2018-09-10,1835.470366835594
2018-09-17,1837.238639950752
2018-09-24,1849.5357346534727
2018-10-01,1855.6460438966749
2018-10-08,1843.0814739465711
2018-10-15,1859.7733337879179
2018-10-22,1860.78310072422
2018-10-29,1850.0529385805128
2018-11-05,1865.6191042661665
2018-11-12,1807.1178629398344
2018-11-19,1797.4595168828962
2018-11-26,1803.38048684597
2018-12-03,1791.9869350194929
2018-12-10,1794.354378223419
2018-12-17,1766.6953948736189
2018-12-24,1736.1983650922773
2018-12-31,1737.0039826631544
2019-01-07,1738.2868424654005
2019-01-14,1784.6232584714887
2019-01-21,1805.3647829294202
2019-01-28,1827.470239639282
2019-02-04,1841.4459809064863
2019-02-11,1851.1476081609724
2019-02-18,1864.9684818983076
2019-02-25,1873.9707156419752
2019-03-04,1886.4266357421873
2019-03-11,1895.334008336067
2019-03-18,1918.5333685874937
2019-03-25,1837.6262556314466
2019-04-01,1836.8694092035291
2019-04-08,1824.8904759883878
2019-04-15,1832.617765665054
2019-04-22,1814.3951047658918
2019-04-29,1806.0537072420118
2019-05-06,1802.5240553617475
2019-05-13,1776.299735188484
2019-05-20,1771.0166202783582
2019-05-27,1780.6375581026075
2019-06-03,1775.7132047414777
2019-06-10,1776.5632525682447
2019-06-17,1757.1814471483228
2019-06-24,1765.0005338191984
2019-07-01,1748.7814476490018
2019-07-08,1747.6016200780866
2019-07-15,1748.5277611017225
2019-07-22,1762.454603552818
2019-07-29,1750.8345595598219
2019-08-05,1756.9900650978086
2019-08-12,1763.3238023519514
2019-08-19,1771.0167479515073
2019-08-26,1772.5585289001463
2019-09-02,1782.871838212013
2019-09-09,1761.8622001409528
2019-09-16,1765.7138437032697
2019-09-23,1749.65856218338
2019-09-30,1756.4460498094556
2019-10-07,1754.8840965032575
2019-10-14,1742.5652973651884
2019-10-21,1747.8222392797468
2019-10-28,1750.4640520811079
2019-11-04,1776.667944550514
2019-11-11,1803.8901580572126
2019-11-18,1835.7629936933515
2019-11-25,1871.6401699781416
2019-12-02,1900.1669477224348
2019-12-09,1920.8147600889204
2019-12-16,1936.961327910423
2019-12-23,1951.921556830406
2019-12-30,1966.6083098649976
2020-01-06,1960.2123957872388
2020-01-13,880.5363669395446
2020-01-20,389.9220967888832
2020-01-27,135.9602782204747
2020-02-03,13.056575044989586
2020-02-10,11.0
2020-02-17,11.0
2020-02-24,11.0
2020-03-02,11.0
2020-03-09,11.0
2020-03-16,11.0
2020-03-23,11.0
2020-03-30,11.0
2020-04-06,11.0
2020-04-13,11.0
2020-04-20,11.0
2020-04-27,11.0
2020-05-04,11.0
2020-05-11,11.0
2020-05-18,11.0
2020-05-25,11.0
2020-06-01,11.0
2020-06-08,11.0
2020-06-15,11.0
2020-06-22,11.0
2020-06-29,11.0
2020-07-06,11.0
2020-07-13,11.0
2020-07-20,11.0
2020-07-27,11.0
2020-08-03,11.0
2020-08-10,11.0
2020-08-17,11.0
2020-08-24,16.393616020679474
2020-08-31,28.605632528662678
2020-09-07,42.303285717964165
2020-09-14,92.2191940099001
2020-09-21,123.3040868267417
2020-09-28,142.74959316849706
2020-10-05,156.2421713620424
2020-10-12,182.85080367326734
2020-10-19,194.33283299207685
2020-10-26,201.53710961341855
2020-11-02,206.84084373712537
2020-11-09,200.44512116909024
2020-11-16,190.58626443147656
2020-11-23,183.9667467921972
2020-11-30,178.83896222710607
2020-12-07,173.73186071217057
2020-12-14,138.34005784243342
2020-12-21,112.34775967895985
2020-12-28,95.07090146839619
