,chickenpox
2017-01-09,107.29869297353349
2017-01-16,520.3899467705394
2017-01-23,1717.6081865248796
2017-01-30,3532.9754062544584
2017-02-06,5166.275940646348
2017-02-13,5806.669912875006
2017-02-20,6536.81197623246
2017-02-27,6940.070791304227
2017-03-06,7071.555712693275
2017-03-13,7285.9850015929505
2017-03-20,7232.798794560123
2017-03-27,7341.485251943716
2017-04-03,6785.41096712045
2017-04-10,6877.134117737842
2017-04-17,6279.906502435401
2017-04-24,6390.152885195498
2017-05-01,6895.133181805875
2017-05-08,7281.9574886927
2017-05-15,7422.058054629316
2017-05-22,7060.320323276465
2017-05-29,7042.203886404243
2017-06-05,6456.493255725963
2017-06-12,5990.961478397388
2017-06-19,5297.215157433757
2017-06-26,4986.381593575133
2017-07-03,4404.078723889412
2017-07-10,4161.290585316075
2017-07-17,4745.640965555318
2017-07-24,5239.981914577033
2017-07-31,4816.09468810714
2017-08-07,4735.437983007461
2017-08-14,5063.101571101589
2017-08-21,5068.412912101903
2017-08-28,4959.973785095152
2017-09-04,4864.3750087409135
2017-09-11,4860.704640307897
2017-09-18,4939.4992653911595
2017-09-25,6131.895951117337
2017-10-02,6123.543685719817
2017-10-09,6330.010276424858
2017-10-16,6414.886137999656
2017-10-23,6367.442586113058
2017-10-30,7019.180924422143
2017-11-06,7348.598398889804
2017-11-13,7100.7477763297775
2017-11-20,7520.948488274902
2017-11-27,6836.10774673858
2017-12-04,7483.13665666152
2017-12-11,6887.92273428126
2017-12-18,7027.905680166653
2017-12-25,6335.616336792032
2018-01-01,4705.175144143141
2018-01-08,4816.751468818017
2018-01-15,5060.0228372028105
2018-01-22,5469.746272276789
2018-01-29,5669.135571507357
2018-02-05,5799.632277338925
2018-02-12,6304.632780388062
2018-02-19,6410.672402253494
2018-02-26,6115.862687683593
2018-03-05,6382.555527226289
2018-03-12,5861.0511392575845
2018-03-19,5788.767051780929
2018-03-26,5947.942592099329
2018-04-02,6118.9628372139805
2018-04-09,6095.579795306706
2018-04-16,6144.618888055379
2018-04-23,5930.4128412607415
2018-04-30,6135.442277630743
2018-05-07,6127.081893316212
2018-05-14,6724.634692113293
2018-05-21,6675.488327801769
2018-05-28,6614.343487114886
2018-06-04,6114.0440515665205
2018-06-11,6979.6823969682455
2018-06-18,6354.005926949314
2018-06-25,5718.120186060697
2018-07-02,5843.943704555654
2018-07-09,5301.445599683711
2018-07-16,5490.826244176794
2018-07-23,5200.455810657869
2018-07-30,4736.813557335249
2018-08-06,5206.173930430116
2018-08-13,4949.695381929169
2018-08-20,4800.871659640557
2018-08-27,5191.889008705767
2018-09-03,4238.962511316754
2018-09-10,4620.542542859837
2018-09-17,5313.461140056555
2018-09-24,5228.121277493467
2018-10-01,5458.259320539517
2018-10-08,4983.394982921896
2018-10-15,4888.470623822328
2018-10-22,5801.4072371024
2018-10-29,6486.279725870144
2018-11-05,6739.770306364795
2018-11-12,6287.80699377506
2018-11-19,6820.250539214044
2018-11-26,6868.496954760115
2018-12-03,6611.691582967007
2018-12-10,6666.352810537821
2018-12-17,6534.8015314508675
2018-12-24,6995.099071701601
2018-12-31,7285.468729908279
2019-01-07,6985.098738507496
2019-01-14,4945.811955591686
2019-01-21,5518.818302017668
2019-01-28,5511.244759000016
2019-02-04,5983.829014329127
2019-02-11,5418.168968416578
2019-02-18,5394.670919735262
2019-02-25,5404.860409070585
2019-03-04,5116.471856410311
2019-03-11,5475.9044760512215
2019-03-18,6291.767720581337
2019-03-25,6127.6345116739985
2019-04-01,6205.385072145624
2019-04-08,5808.406489402216
2019-04-15,6357.97421435189
2019-04-22,5751.344919066877
2019-04-29,5736.509782751759
2019-05-06,5926.854549617393
2019-05-13,6316.947618775172
2019-05-20,5778.061762264792
2019-05-27,6233.072920416099
2019-06-03,6355.745799611957
2019-06-10,6460.23421567055
2019-06-17,6145.849411283961
2019-06-24,6079.9841802746205
2019-07-01,5331.164874909906
2019-07-08,5565.353918879629
2019-07-15,5270.126203524569
2019-07-22,6014.3888156391085
2019-07-29,5809.382567279223
2019-08-05,5599.17287801783
2019-08-12,5888.230098631593
2019-08-19,5528.752481159511
2019-08-26,5551.120630879758
2019-09-02,5750.820056124082
2019-09-09,6099.278658791343
2019-09-16,6565.773945479572
2019-09-23,6973.180843132259
2019-09-30,6882.792338167192
2019-10-07,6481.542391767949
2019-10-14,7134.440444077592
2019-10-21,6691.526268422686
2019-10-28,5429.539501786802
2019-11-04,4441.09238454225
2019-11-11,4772.001666105558
2019-11-18,3960.364296105121
2019-11-25,3797.4116146310034
2019-12-02,4162.108349387908
2019-12-09,3976.879278903737
2019-12-16,4874.889763173245
2019-12-23,5118.114707622496
2019-12-30,5696.531671151247
2020-01-06,5550.214754512455
2020-01-13,2019.3695123966356
2020-01-20,1016.2650853308844
2020-01-27,573.7636034949012
2020-02-03,356.6939954350107
2020-02-10,242.13159964113973
2020-02-17,178.11469804880022
2020-02-24,143.23432628511372
2020-03-02,123.77451284852594
2020-03-09,111.92296879100843
2020-03-16,103.4786677332713
2020-03-23,97.68739956329625
