,chickenpox
2017-01-09,29.705935686826702
2017-01-16,1091.9034785032272
2017-01-23,1626.2338647842405
2017-01-30,1775.699543714523
2017-02-06,1833.3632491827009
2017-02-13,1914.05944609642
2017-02-20,1865.658555269241
2017-02-27,1842.4566415548322
2017-03-06,1839.7059235572813
2017-03-13,1820.6526211500166
2017-03-20,1838.791145443916
2017-03-27,1826.7182447910307
2017-04-03,1905.8964079618452
2017-04-10,1862.3242433071134
2017-04-17,1936.86863720417
2017-04-24,1887.1551387310026
2017-05-01,1818.9020946025846
2017-05-08,1802.7797846794126
2017-05-15,1808.0440039634702
2017-05-22,1864.4895799160001
2017-05-29,1858.2508314847944
2017-06-05,1931.6995344161985
2017-06-12,1968.6123952865598
2017-06-19,2040.0369681119917
2017-06-26,2043.8658858537672
2017-07-03,2111.601598381996
2017-07-10,2118.798406124115
2017-07-17,1986.8972330093382
2017-07-24,1948.5873725414274
2017-07-31,2065.9446588754654
2017-08-07,2074.566937327385
2017-08-14,2017.9407038688657
2017-08-21,2034.1743447780607
2017-08-28,2054.0364565849304
2017-09-04,2065.771789431572
2017-09-11,2064.2879720926285
2017-09-18,2049.79706966877
2017-09-25,1863.66149187088
2017-10-02,1948.2883620262144
2017-10-09,1945.6994059085844
2017-10-16,1949.4039700031278
2017-10-23,1962.1720509529111
2017-10-30,1857.911603927612
2017-11-06,1847.1094341278074
2017-11-13,1903.2411894798277
2017-11-20,1836.9878898859022
2017-11-27,1954.3243654966352
2017-12-04,1834.0022532939909
2017-12-11,1930.8530614376066
2017-12-18,1883.5460741519926
2017-12-25,1979.7876260280607
2018-01-01,2177.1269056797028
2018-01-08,2057.6211355924606
2018-01-15,2043.0759720802305
2018-01-22,1977.2147567272184
2018-01-29,1970.6006492376325
2018-02-05,1970.9380893707273
2018-02-12,1893.9725018739698
2018-02-19,1906.2072920799253
2018-02-26,1961.585520505905
2018-03-05,1905.7195806503294
2018-03-12,1986.144344449043
2018-03-19,1965.2290568351743
2018-03-26,1922.7908850908277
2018-04-02,1899.4994724988935
2018-04-09,1906.5816297531126
2018-04-16,1899.1497757434843
2018-04-23,1936.488681912422
2018-04-30,1896.4614899158476
2018-05-07,1903.882874727249
2018-05-14,1826.9138400554655
2018-05-21,1858.8192323446272
2018-05-28,1877.7997610568998
2018-06-04,1951.9753072261808
2018-06-11,1817.6008498668668
2018-06-18,1926.149327278137
2018-06-25,2008.1066795587537
2018-07-02,1952.049485325813
2018-07-09,2036.2480120658872
2018-07-16,1968.448462963104
2018-07-23,2022.409519433975
2018-07-30,2088.1256980895996
2018-08-06,1981.5939457416532
2018-08-13,2055.8102196455
2018-08-20,2072.119826078415
2018-08-27,1998.5770280361173
2018-09-03,2168.3664848804474
2018-09-10,2063.473800420761
2018-09-17,1966.9799664020536
2018-09-24,2030.2287337779997
2018-10-01,2003.2531847953794
2018-10-08,2098.2173668146133
2018-10-15,2089.3370609283447
2018-10-22,1927.3239202499387
2018-10-29,1876.080003738403
2018-11-05,1894.465192556381
2018-11-12,1987.2595694065092
2018-11-19,1892.386290669441
2018-11-26,1905.694556713104
2018-12-03,1945.9925434589384
2018-12-10,1911.304004192352
2018-12-17,1924.3276867866514
2018-12-24,1844.9405226707456
2018-12-31,1828.3181170225141
2019-01-07,1824.1521421670911
2019-01-14,2145.372678399086
2019-01-21,2012.6320543289182
2019-01-28,2029.5252547264097
2019-02-04,1938.5880115032194
2019-02-11,2038.337255477905
2019-02-18,2016.8889324665067
2019-02-25,2007.5057220458982
2019-03-04,2054.9942605495453
2019-03-11,1953.4278446435926
2019-03-18,1841.1976566314695
2019-03-25,1915.044316768646
2019-04-01,1915.1150476932523
2019-04-08,1978.6245236396787
2019-04-15,1866.497878551483
2019-04-22,1974.5862219333646
2019-04-29,1951.5608801841734
2019-05-06,1912.2275917530058
2019-05-13,1863.977099895477
2019-05-20,1961.9547512531278
2019-05-27,1877.4730454683302
2019-06-03,1879.262129306793
2019-06-10,1881.439467191696
2019-06-17,1931.0321868658064
2019-06-24,1931.2248456478117
2019-07-01,2040.8881649971006
2019-07-08,1966.1301739215849
2019-07-15,2014.5239150524137
2019-07-22,1884.3210501670835
2019-07-29,1957.771412849426
2019-08-05,2001.7405133247373
2019-08-12,1954.2305257320402
2019-08-19,2022.2295002937315
2019-08-26,2000.07527244091
2019-09-02,1968.835312604904
2019-09-09,1930.478213071823
2019-09-16,1885.0785349607465
2019-09-23,1863.4555550813673
2019-09-30,1910.4641702175138
2019-10-07,1976.7326629161832
2019-10-14,1862.8041666746137
2019-10-21,1948.6481449604032
2019-10-28,2113.852859020233
2019-11-04,2201.00816822052
2019-11-11,2071.5856416225433
2019-11-18,2202.0908365249634
2019-11-25,2183.297093629837
2019-12-02,2093.5354647636414
2019-12-09,2153.4744334220886
2019-12-16,1971.6734867095945
2019-12-23,2001.362600803375
2019-12-30,1936.43595290184
2020-01-06,1940.3562846183775
2020-01-13,1529.2052079439163
2020-01-20,1307.3214037418365
2020-01-27,984.3147201538085
2020-02-03,573.3140424489974
2020-02-10,230.25858891010282
2020-02-17,58.48929656296968
2020-02-24,11.0
2020-03-02,11.0
2020-03-09,11.0
2020-03-16,11.0
2020-03-23,11.0
2020-03-30,11.0
2020-04-06,11.0
2020-04-13,11.0
2020-04-20,11.0
2020-04-27,11.0
2020-05-04,11.0
2020-05-11,11.0
2020-05-18,11.0
2020-05-25,11.0
2020-06-01,11.0
2020-06-08,11.0
2020-06-15,11.0
2020-06-22,11.0
2020-06-29,11.0
2020-07-06,11.0
2020-07-13,11.0
2020-07-20,11.0
2020-07-27,11.0
2020-08-03,11.0
2020-08-10,11.0
2020-08-17,11.0
2020-08-24,46.94736459851264
2020-08-31,106.12793879210949
2020-09-07,173.09631973505017
2020-09-14,273.7056019604206
2020-09-21,386.21976697444916
2020-09-28,503.09358701109886
2020-10-05,615.0129866600035
2020-10-12,730.1651023626326
2020-10-19,821.2233158946036
2020-10-26,888.3711574077605
2020-11-02,930.8598877191542
2020-11-09,950.2165415287017
2020-11-16,941.3472155332564
2020-11-23,913.6596333980559
2020-11-30,870.1351546645163
2020-12-07,812.0457869172095
