Date,Giardiasis,chickenpox,Week,Month,DayOfWeek
2006-01-02,89,211,1,1,0
2006-01-09,107,614,2,1,0
2006-01-16,115,475,3,1,0
2006-01-23,166,813,4,1,0
2006-01-30,144,703,5,1,0
2006-02-06,131,776,6,2,0
2006-02-13,177,692,7,2,0
2006-02-20,153,452,8,2,0
2006-02-27,169,916,9,2,0
2006-03-06,220,901,10,3,0
2006-03-13,112,790,11,3,0
2006-03-20,159,755,12,3,0
2006-03-27,212,901,13,3,0
2006-04-03,187,811,14,4,0
2006-04-10,135,1082,15,4,0
2006-04-17,162,455,16,4,0
2006-04-24,147,777,17,4,0
2006-05-01,203,897,18,5,0
2006-05-08,134,687,19,5,0
2006-05-15,203,915,20,5,0
2006-05-22,258,875,21,5,0
2006-05-29,128,653,22,5,0
2006-06-05,175,652,23,6,0
2006-06-12,148,562,24,6,0
2006-06-19,144,506,25,6,0
2006-06-26,169,171,26,6,0
2006-07-03,136,207,27,7,0
2006-07-10,271,342,28,7,0
2006-07-17,156,106,29,7,0
2006-07-24,222,115,30,7,0
2006-07-31,212,163,31,7,0
2006-08-07,268,150,32,8,0
2006-08-14,263,557,33,8,0
2006-08-21,277,181,34,8,0
2006-08-28,283,127,35,8,0
2006-09-04,224,160,36,9,0
2006-09-11,291,262,37,9,0
2006-09-18,227,271,38,9,0
2006-09-25,325,323,39,9,0
2006-10-02,297,442,40,10,0
2006-10-09,224,441,41,10,0
2006-10-16,236,518,42,10,0
2006-10-23,237,444,43,10,0
2006-10-30,247,562,44,10,0
2006-11-06,183,469,45,11,0
2006-11-13,208,695,46,11,0
2006-11-20,138,570,47,11,0
2006-11-27,191,940,48,11,0
2006-12-04,198,850,49,12,0
2006-12-11,199,668,50,12,0
2006-12-18,165,382,51,12,0
2006-12-25,149,213,52,12,0
2007-01-01,67,203,1,1,0
2007-01-08,78,562,2,1,0
2007-01-15,71,354,3,1,0
2007-01-22,176,427,4,1,0
2007-01-29,168,500,5,1,0
2007-02-05,166,1052,6,2,0
2007-02-12,126,684,7,2,0
2007-02-19,144,573,8,2,0
2007-02-26,127,383,9,2,0
2007-03-05,123,775,10,3,0
2007-03-12,169,619,11,3,0
2007-03-19,116,972,12,3,0
2007-03-26,163,820,13,3,0
2007-04-02,155,557,14,4,0
2007-04-09,147,830,15,4,0
2007-04-16,152,983,16,4,0
2007-04-23,139,653,17,4,0
2007-04-30,132,659,18,4,0
2007-05-07,143,814,19,5,0
2007-05-14,170,783,20,5,0
2007-05-21,122,437,21,5,0
2007-05-28,83,560,22,5,0
2007-06-04,103,555,23,6,0
2007-06-11,128,238,24,6,0
2007-06-18,132,184,25,6,0
2007-06-25,141,137,26,6,0
2007-07-02,190,151,27,7,0
2007-07-09,150,104,28,7,0
2007-07-16,184,126,29,7,0
2007-07-23,219,149,30,7,0
2007-07-30,212,120,31,7,0
2007-08-06,220,77,32,8,0
2007-08-13,233,116,33,8,0
2007-08-20,245,148,34,8,0
2007-08-27,270,186,35,8,0
2007-09-03,247,137,36,9,0
2007-09-10,305,365,37,9,0
2007-09-17,267,240,38,9,0
2007-09-24,290,205,39,9,0
2007-10-01,230,386,40,10,0
2007-10-08,301,374,41,10,0
2007-10-15,222,272,42,10,0
2007-10-22,243,356,43,10,0
2007-10-29,212,333,44,10,0
2007-11-05,205,447,45,11,0
2007-11-12,338,505,46,11,0
2007-11-19,140,251,47,11,0
2007-11-26,228,621,48,11,0
2007-12-03,187,596,49,12,0
2007-12-10,164,414,50,12,0
2007-12-17,140,420,51,12,0
2007-12-24,164,160,52,12,0
2007-12-31,164,160,1,12,0
2008-01-07,70,255,2,1,0
2008-01-14,114,346,3,1,0
2008-01-21,142,363,4,1,0
2008-01-28,117,323,5,1,0
2008-02-04,166,433,6,2,0
2008-02-11,188,487,7,2,0
2008-02-18,130,464,8,2,0
2008-02-25,166,454,9,2,0
2008-03-03,181,495,10,3,0
2008-03-10,160,606,11,3,0
2008-03-17,162,698,12,3,0
2008-03-24,137,441,13,3,0
2008-03-31,157,414,14,3,0
2008-04-07,172,749,15,4,0
2008-04-14,165,525,16,4,0
2008-04-21,180,582,17,4,0
2008-04-28,136,453,18,4,0
2008-05-05,241,400,19,5,0
2008-05-12,155,601,20,5,0
2008-05-19,181,541,21,5,0
2008-05-26,146,491,22,5,0
2008-06-02,138,462,23,6,0
2008-06-09,149,598,24,6,0
2008-06-16,194,374,25,6,0
2008-06-23,192,218,26,6,0
2008-06-30,172,284,27,6,0
2008-07-07,136,138,28,7,0
2008-07-14,160,120,29,7,0
2008-07-21,259,187,30,7,0
2008-07-28,208,121,31,7,0
2008-08-04,288,126,32,8,0
2008-08-11,316,85,33,8,0
2008-08-18,253,131,34,8,0
2008-08-25,231,108,35,8,0
2008-09-01,170,120,36,9,0
2008-09-08,227,121,37,9,0
2008-09-15,384,246,38,9,0
2008-09-22,259,208,39,9,0
2008-09-29,266,268,40,9,0
2008-10-06,225,233,41,10,0
2008-10-13,186,148,42,10,0
2008-10-20,259,168,43,10,0
2008-10-27,232,328,44,10,0
2008-11-03,184,187,45,11,0
2008-11-10,252,297,46,11,0
2008-11-17,195,269,47,11,0
2008-11-24,246,383,48,11,0
2008-12-01,196,189,49,12,0
2008-12-08,184,366,50,12,0
2008-12-15,190,513,51,12,0
2008-12-22,130,348,52,12,0
2008-12-29,99,194,1,12,0
2009-01-05,101,77,2,1,0
2009-01-12,111,190,3,1,0
2009-01-19,129,251,4,1,0
2009-01-26,161,306,5,1,0
2009-02-02,160,330,6,2,0
2009-02-09,215,313,7,2,0
2009-02-16,115,215,8,2,0
2009-02-23,195,288,9,2,0
2009-03-02,151,191,10,3,0
2009-03-09,176,225,11,3,0
2009-03-16,176,191,12,3,0
2009-03-23,175,249,13,3,0
2009-03-30,155,171,14,3,0
2009-04-06,203,217,15,4,0
2009-04-13,225,218,16,4,0
2009-04-20,240,210,17,4,0
2009-04-27,146,122,18,4,0
2009-05-04,203,265,19,5,0
2009-05-11,136,214,20,5,0
2009-05-18,162,221,21,5,0
2009-05-25,204,149,22,5,0
2009-06-01,167,160,23,6,0
2009-06-08,170,93,24,6,0
2009-06-15,139,51,25,6,0
2009-06-22,147,58,26,6,0
2009-06-29,189,101,27,6,0
2009-07-06,258,52,28,7,0
2009-07-13,268,57,29,7,0
2009-07-20,269,59,30,7,0
2009-07-27,222,49,31,7,0
2009-08-03,243,43,32,8,0
2009-08-10,290,53,33,8,0
2009-08-17,255,44,34,8,0
2009-08-24,210,52,35,8,0
2009-08-31,219,60,36,8,0
2009-09-07,235,74,37,9,0
2009-09-14,233,101,38,9,0
2009-09-21,267,134,39,9,0
2009-09-28,307,188,40,9,0
2009-10-05,232,118,41,10,0
2009-10-12,188,94,42,10,0
2009-10-19,200,119,43,10,0
2009-10-26,195,99,44,10,0
2009-11-02,304,94,45,11,0
2009-11-09,174,109,46,11,0
