Date,Giardiasis,Week,Month,DayOfWeek,Giardiasis_lag_1,Giardiasis_lag_2,Giardiasis_lag_3,Giardiasis_lag_4,Giardiasis_rolling_mean,Giardiasis_rolling_std
2006-01-30,144,5,1,0,166.0,115.0,107.0,89.0,133.0,27.14160398109637
2006-02-06,131,6,2,0,144.0,166.0,115.0,107.0,139.0,21.556128285632987
2006-02-13,177,7,2,0,131.0,144.0,166.0,115.0,154.5,20.824664863249694
2006-02-20,153,8,2,0,177.0,131.0,144.0,166.0,151.25,19.397164741270817
2006-02-27,169,9,2,0,153.0,177.0,131.0,144.0,157.5,20.289570391377598
2006-03-06,220,10,3,0,169.0,153.0,177.0,131.0,179.75,28.62836588653521
2006-03-13,112,11,3,0,220.0,169.0,153.0,177.0,163.5,44.66542286825458
2006-03-20,159,12,3,0,112.0,220.0,169.0,153.0,165.0,44.2944691807002
2006-03-27,212,13,3,0,159.0,112.0,220.0,169.0,175.75,50.38766383418333
2006-04-03,187,14,4,0,212.0,159.0,112.0,220.0,167.5,42.868014494103484
2006-04-10,135,15,4,0,187.0,212.0,159.0,112.0,173.25,33.450211758173765
2006-04-17,162,16,4,0,135.0,187.0,212.0,159.0,174.0,33.05550887018178
2006-04-24,147,17,4,0,162.0,135.0,187.0,212.0,157.75,22.410934831014966
2006-05-01,203,18,5,0,147.0,162.0,135.0,187.0,161.75,29.635283025474884
2006-05-08,134,19,5,0,203.0,147.0,162.0,135.0,161.5,29.938826518975876
2006-05-15,203,20,5,0,134.0,203.0,147.0,162.0,171.75,36.47259244967377
2006-05-22,258,21,5,0,203.0,134.0,203.0,147.0,199.5,50.78385570237848
2006-05-29,128,22,5,0,258.0,203.0,134.0,203.0,180.75,61.727222519727874
2006-06-05,175,23,6,0,128.0,258.0,203.0,134.0,191.0,54.33844556726542
2006-06-12,148,24,6,0,175.0,128.0,258.0,203.0,177.25,57.174440676465444
2006-06-19,144,25,6,0,148.0,175.0,128.0,258.0,148.75,19.517086531208165
2006-06-26,169,26,6,0,144.0,148.0,175.0,128.0,159.0,15.297058540778373
2006-07-03,136,27,7,0,169.0,144.0,148.0,175.0,149.25,14.080127840328739
2006-07-10,271,28,7,0,136.0,169.0,144.0,148.0,180.0,62.273589907761064
