Year,Week,Month,Chlamydia,Dengue,Giardiasis,Gonorrhea,Haemophilus,HepatitisA,HepatitisB,HepatitisC,Legionellosis,Lyme disease,Malaria,Syphilis,chickenpox,Date
2006,1,1,3770,0.0,89,1561,15,44,10,0.0,8,14.0,4,18,211,2006-01-02
2006,2,1,7070,0.0,107,2770,13,22,22,0.0,11,17.0,4,52,614,2006-01-09
2006,3,1,9379,0.0,115,3450,13,21,25,0.0,13,22.0,18,83,475,2006-01-16
2006,4,1,11315,0.0,166,4030,29,29,71,0.0,10,22.0,15,85,813,2006-01-23
2006,5,1,11824,0.0,144,3873,29,42,32,0.0,19,35.0,11,90,703,2006-01-30
2006,6,2,10053,0.0,131,3370,20,19,19,0.0,11,33.0,6,77,776,2006-02-06
2006,7,2,8696,0.0,177,3266,20,46,25,0.0,16,31.0,9,80,692,2006-02-13
2006,8,2,8326,0.0,153,2968,21,31,35,0.0,15,23.0,20,71,452,2006-02-20
2006,9,2,13035,0.0,169,4884,36,44,95,0.0,19,39.0,5,85,916,2006-02-27
2006,10,3,11477,0.0,220,4087,23,43,100,0.0,15,144.0,17,59,901,2006-03-06
2006,11,3,12019,0.0,112,3943,35,9,31,0.0,17,103.0,3,90,790,2006-03-13
2006,12,3,12726,0.0,159,3730,27,42,61,0.0,19,86.0,12,130,755,2006-03-20
2006,13,3,12484,0.0,212,4344,32,52,41,0.0,16,62.0,8,74,901,2006-03-27
2006,14,4,11670,0.0,187,3562,27,44,36,0.0,18,147.0,11,76,811,2006-04-03
2006,15,4,9089,0.0,135,2632,20,38,49,0.0,14,13.0,5,71,1082,2006-04-10
2006,16,4,11215,0.0,162,3688,21,50,48,0.0,19,41.0,7,62,455,2006-04-17
2006,17,4,11690,0.0,147,4031,33,63,57,0.0,15,26.0,8,80,777,2006-04-24
2006,18,5,9731,0.0,203,2572,26,47,32,0.0,10,90.0,24,69,897,2006-05-01
